"Sample","Peak","Intensity","Frequency","Key","Correction"
"bagpipe_36",1,1,1045.74,84,1
"bagpipe_36",2,0.883675,1308.18,88,14
"bagpipe_36",3,0.845851,915.189,82,32
"bagpipe_36",4,0.795557,261.098,60,3
"bagpipe_36",5,0.658877,522.196,72,3
"bagpipe_36",6,0.620683,391.647,67,2
"bagpipe_36",7,0.54827,784.64,79,-1
"bagpipe_36",8,0.309523,130.549,48,3
"bagpipe_36",9,0.298829,1569.28,91,-1
"bagpipe_36",10,0.297959,1176.29,86,-2
"bagpipe_36",11,0.248368,1699.83,92,-40
"bagpipe_36",12,0.241345,1830.38,94,32
"bagpipe_36",13,0.228553,1438.73,90,49
"bagpipe_36",14,0.180459,1049.78,84,-5
"bagpipe_36",15,0.163673,654.091,76,14
"bagpipe_36",16,0.161908,1041.7,84,8
"bagpipe_36",17,0.156557,2092.82,96,0
"bagpipe_36",18,0.14217,257.06,60,30
"bagpipe_36",19,0.138127,2223.37,97,-5
"bagpipe_36",20,0.131071,265.136,60,-23
"bagpipe_36",21,0.113723,1301.45,88,23
"bagpipe_36",22,0.11266,1313.57,88,7
"bagpipe_36",23,0.0875812,1053.81,84,-12
"bagpipe_36",24,0.0786726,907.114,82,47
"bagpipe_36",25,0.0756991,528.925,72,-19
"bagpipe_36",26,0.0731286,1037.66,84,15
"bagpipe_36",27,0.0724841,790.023,79,-13
"bagpipe_36",28,0.0684046,253.023,59,-42
"bagpipe_36",29,0.0682555,1297.42,88,28
"bagpipe_36",30,0.0656064,1317.6,88,1
"bagpipe_36",31,0.0641041,1960.93,95,13
"bagpipe_36",32,0.06288,269.173,60,-49
"bagpipe_36",33,0.0577617,777.911,79,13
"bagpipe_36",34,0.0575596,1057.85,84,-19
"bagpipe_36",35,0.056317,923.264,82,17
"bagpipe_36",36,0.0563127,3008.01,102,-28
"bagpipe_36",37,0.0555374,1565.24,91,3
"bagpipe_36",38,0.0549318,2746.91,101,29
"bagpipe_36",39,0.0519686,903.076,81,-45
"bagpipe_36",40,0.0506109,1293.38,88,33
"bagpipe_37",1,1,415.873,68,-2
"bagpipe_37",2,0.629478,1384.9,89,15
"bagpipe_37",3,0.490342,1107.65,85,2
"bagpipe_37",4,0.476764,553.151,73,4
"bagpipe_37",5,0.419282,1800.77,93,-40
"bagpipe_37",6,0.314153,830.399,80,0
"bagpipe_37",7,0.313086,275.903,61,8
"bagpipe_37",8,0.23545,137.278,49,16
"bagpipe_37",9,0.190078,969.024,83,33
"bagpipe_37",10,0.166079,1246.27,87,-2
"bagpipe_37",11,0.160415,1939.39,95,32
"bagpipe_37",12,0.12827,409.143,68,26
"bagpipe_37",13,0.127396,421.256,68,-25
"bagpipe_37",14,0.125082,1523.52,91,50
"bagpipe_37",15,0.124104,691.775,77,17
"bagpipe_37",16,0.0781037,2216.64,97,1
"bagpipe_37",17,0.0780087,425.294,68,-41
"bagpipe_37",18,0.0747134,405.106,68,43
"bagpipe_37",19,0.0657218,1102.26,85,10
"bagpipe_37",20,0.0603804,1662.14,92,-1
"bagpipe_37",21,0.0556726,1392.97,89,5
"bagpipe_37",22,0.0552193,429.331,69,42
"bagpipe_37",23,0.0549403,1114.38,85,-9
"bagpipe_37",24,0.0533809,401.068,67,-40
"bagpipe_37",25,0.0532802,2355.27,98,-4
"bagpipe_37",26,0.0504705,141.316,49,-34
"bagpipe_38",1,1,733.497,78,15
"bagpipe_38",2,0.633611,440.098,69,0
"bagpipe_38",3,0.417081,1320.29,88,-2
"bagpipe_38",4,0.400058,586.798,74,2
"bagpipe_38",5,0.211219,146.699,50,2
"bagpipe_38",6,0.207072,880.197,81,0
"bagpipe_38",7,0.178264,729.46,78,25
"bagpipe_38",8,0.167887,1026.9,84,33
"bagpipe_38",9,0.16118,737.535,78,6
"bagpipe_38",10,0.155594,2055.14,96,32
"bagpipe_38",11,0.115843,1761.74,93,-2
"bagpipe_38",12,0.0889121,1613.69,91,-50
"bagpipe_38",13,0.0879957,2348.54,98,1
"bagpipe_38",14,0.0872369,2201.84,97,12
"bagpipe_38",15,0.0855506,444.136,69,-16
"bagpipe_38",16,0.0844425,725.422,78,34
"bagpipe_38",17,0.0796202,741.572,78,-4
"bagpipe_38",18,0.0767163,293.399,62,2
"bagpipe_38",19,0.0699975,590.835,74,-10
"bagpipe_38",20,0.0667365,582.76,74,14
"bagpipe_38",21,0.0582742,432.023,69,32
"bagpipe_38",22,0.0570158,721.384,78,44
"bagpipe_38",23,0.0569349,1468.34,90,14
"bagpipe_38",24,0.0548453,1314.91,88,5
"bagpipe_38",25,0.0514674,745.61,78,-13
"bagpipe_39",1,1,1088.81,85,31
"bagpipe_39",2,0.649095,621.79,75,1
"bagpipe_39",3,0.439049,154.775,51,9
"bagpipe_39",4,0.421117,777.911,79,13
"bagpipe_39",5,0.365184,465.67,70,2
"bagpipe_39",6,0.312598,1243.58,87,1
"bagpipe_39",7,0.246392,310.895,63,1
"bagpipe_39",8,0.207328,1555.82,91,13
"bagpipe_39",9,0.174932,1399.7,89,-3
"bagpipe_39",10,0.133462,2021.49,95,-40
"bagpipe_39",11,0.132552,1094.19,85,23
"bagpipe_39",12,0.119973,617.753,75,13
"bagpipe_39",13,0.116813,1082.08,85,42
"bagpipe_39",14,0.11548,1710.6,93,49
"bagpipe_39",15,0.114273,625.828,75,-10
"bagpipe_39",16,0.111008,2177.61,97,31
"bagpipe_39",17,0.106829,932.685,82,-1
"bagpipe_39",18,0.0782393,1098.23,85,16
"bagpipe_39",19,0.0767606,158.812,51,-36
"bagpipe_39",20,0.0762439,1866.72,94,-2
"bagpipe_39",21,0.0738649,1078.04,85,49
"bagpipe_39",22,0.073855,150.737,50,-45
"bagpipe_39",23,0.0617994,1247.62,87,-4
"bagpipe_39",24,0.0589006,2332.39,98,13
"bagpipe_39",25,0.055383,629.865,75,-21
"bagpipe_39",26,0.0539328,1102.26,85,10
"bagpipe_39",27,0.0534128,771.181,79,29
"bagpipe_39",28,0.0512659,783.294,79,2
"bagpipe_39",29,0.0507984,613.715,75,24
"bagpipe_39",30,0.0507703,1074,84,-45
"bagpipe_39",31,0.0503259,1239.54,87,7
"bagpipe_40",1,1,1153.41,86,32
"bagpipe_40",2,0.734719,164.196,52,7
"bagpipe_40",3,0.487885,328.391,64,7
"bagpipe_40",4,0.472887,823.67,80,15
"bagpipe_40",5,0.436231,659.474,76,-1
"bagpipe_40",6,0.411036,1317.6,88,1
"bagpipe_40",7,0.375068,493.933,71,0
"bagpipe_40",8,0.246927,1647.34,92,15
"bagpipe_40",9,0.21102,2306.81,98,32
"bagpipe_40",10,0.130432,160.158,52,50
"bagpipe_40",11,0.127292,1158.79,86,24
"bagpipe_40",12,0.115849,168.233,52,-36
"bagpipe_40",13,0.113734,1483.14,90,-4
"bagpipe_40",14,0.112771,987.866,83,0
"bagpipe_40",15,0.106432,2142.62,96,-41
"bagpipe_40",16,0.104572,1812.88,94,49
"bagpipe_40",17,0.0968488,1146.68,86,42
"bagpipe_40",18,0.0917898,819.633,80,23
"bagpipe_40",19,0.0778464,1977.08,95,-1
"bagpipe_40",20,0.076715,1321.64,88,-4
"bagpipe_40",21,0.0763553,1162.83,86,18
"bagpipe_40",22,0.0731901,827.708,80,6
"bagpipe_40",23,0.0688174,2471.01,99,13
"bagpipe_40",24,0.0661544,1313.57,88,7
